target,8503120,8506302,8506038,8591193,8591127,8502572,8503052
8503309,00d00:54:00,00d01:01:00,00d00:42:00,00d00:15:00,00d00:14:00,00d00:31:00,00d00:31:00
8503310,00d00:45:00,00d01:09:00,00d00:46:00,00d00:13:00,00d00:09:00,00d00:30:00,00d00:36:00
8503312,00d00:52:00,00d01:09:00,00d00:53:00,00d00:20:00,00d00:16:00,00d00:35:00,00d00:34:00
8503313,00d00:55:00,00d01:06:00,00d00:50:00,00d00:26:00,00d00:19:00,00d00:40:00,00d00:37:00
8503340,00d00:51:00,00d01:04:00,00d00:48:00,00d00:13:00,00d00:08:00,00d00:29:00,00d00:29:00
8503350,00d00:55:00,00d01:05:00,00d00:42:00,00d00:41:00,00d00:37:00,00d00:46:00,00d00:50:00
8503351,00d00:55:00,00d01:02:00,00d00:39:00,00d00:38:00,00d00:34:00,00d00:43:00,00d00:47:00
8503374,00d01:00:00,00d01:01:00,00d00:35:00,00d00:43:00,00d00:39:00,00d00:48:00,00d00:52:00
8503377,00d01:00:00,00d01:07:00,00d00:44:00,00d00:43:00,00d00:39:00,00d00:48:00,00d00:52:00
8503378,00d00:55:00,00d01:02:00,00d00:39:00,00d00:38:00,00d00:34:00,00d00:43:00,00d00:47:00
8503380,00d01:05:00,00d01:06:00,00d00:40:00,00d00:48:00,00d00:44:00,00d00:53:00,00d00:57:00
8503381,00d01:02:00,00d01:09:00,00d00:46:00,00d00:45:00,00d00:41:00,00d00:50:00,00d00:54:00
8503382,00d00:59:00,00d01:06:00,00d00:51:00,00d00:42:00,00d00:38:00,00d00:47:00,00d00:51:00
8503400,00d01:00:00,00d01:00:00,00d00:44:00,00d00:21:00,00d00:16:00,00d00:35:00,00d00:42:00
8503700,00d00:49:00,00d00:56:00,00d00:40:00,00d00:24:00,00d00:17:00,00d00:33:00,00d00:33:00
8503702,00d01:05:00,00d01:05:00,00d00:49:00,00d00:26:00,00d00:21:00,00d00:50:00,00d00:47:00
8503772,00d01:09:00,00d01:09:00,00d00:54:00,00d00:33:00,00d00:28:00,00d00:52:00,00d00:51:00
8503850,00d01:07:00,00d01:07:00,00d00:52:00,00d00:31:00,00d00:26:00,00d00:52:00,00d00:49:00
8506000,00d00:52:00,00d00:36:00,00d00:09:00,00d00:30:00,00d00:26:00,00d00:38:00,00d00:39:00
8506001,00d00:58:00,00d00:49:00,00d00:17:00,00d00:39:00,00d00:35:00,00d00:48:00,00d00:45:00
8506002,00d01:02:00,00d00:53:00,00d00:21:00,00d00:49:00,00d00:39:00,00d00:50:00,00d00:51:00
8506003,00d01:03:00,00d01:09:00,00d00:24:00,00d00:46:00,00d00:42:00,00d00:53:00,00d00:54:00
8506014,00d01:10:00,00d00:51:00,00d00:38:00,00d00:57:00,00d00:54:00,00d01:02:00,00d00:56:00
8506015,00d01:04:00,00d00:56:00,00d00:32:00,00d00:51:00,00d00:48:00,00d00:56:00,00d00:50:00
8506016,00d00:58:00,00d00:50:00,00d00:03:00,00d00:45:00,00d00:31:00,00d00:42:00,00d00:44:00
8506017,00d01:05:00,00d01:01:00,00d00:11:00,00d00:37:00,00d00:33:00,00d00:44:00,00d00:46:00
8506018,00d01:07:00,00d01:04:00,00d00:13:00,00d00:40:00,00d00:36:00,00d00:47:00,00d00:49:00
8506019,00d01:10:00,00d01:07:00,00d00:16:00,00d00:43:00,00d00:39:00,00d00:50:00,00d00:52:00
8506020,00d01:06:00,00d00:57:00,00d00:05:00,00d00:53:00,00d00:50:00,00d00:58:00,00d00:52:00
8506021,00d01:09:00,00d01:00:00,00d00:08:00,00d00:56:00,00d00:53:00,00d01:01:00,00d01:05:00
8506035,00d01:06:00,00d00:55:00,00d00:34:00,00d00:53:00,00d00:50:00,00d00:58:00,00d00:52:00
8506036,00d01:02:00,00d00:54:00,00d00:02:00,00d00:49:00,00d00:46:00,00d00:54:00,00d00:48:00
8506041,00d01:06:00,00d00:56:00,00d00:40:00,00d00:37:00,00d00:30:00,00d00:51:00,00d00:48:00
8506043,00d01:09:00,00d00:46:00,00d00:30:00,00d00:46:00,00d00:39:00,00d00:57:00,00d00:51:00
8506044,00d01:07:00,00d00:44:00,00d00:27:00,00d00:49:00,00d00:43:00,00d00:55:00,00d00:49:00
8506045,00d01:01:00,00d00:46:00,00d00:29:00,00d00:48:00,00d00:45:00,00d00:53:00,00d00:47:00
8506046,00d01:03:00,00d00:48:00,00d00:31:00,00d00:50:00,00d00:47:00,00d00:55:00,00d00:49:00
8506047,00d01:08:00,00d00:53:00,00d00:31:00,00d00:50:00,00d00:43:00,00d00:59:00,00d00:54:00
8506206,00d00:59:00,00d00:24:00,00d00:41:00,00d01:02:00,00d00:49:00,00d01:01:00,00d01:01:00
8506691,00d01:08:00,00d01:07:00,00d00:26:00,00d00:55:00,00d00:52:00,00d01:00:00,00d00:54:00
8506899,00d00:57:00,00d00:41:00,00d00:14:00,00d00:35:00,00d00:31:00,00d00:43:00,00d00:44:00
8506961,00d01:08:00,00d00:59:00,00d00:36:00,00d00:55:00,00d00:52:00,00d01:00:00,00d00:54:00
8516218,00d01:01:00,00d00:53:00,00d00:29:00,00d00:48:00,00d00:45:00,00d00:53:00,00d00:47:00
8573205,00d00:55:00,00d00:57:00,00d00:33:00,00d00:18:00,00d00:12:00,00d00:30:00,00d00:33:00
8573211,00d01:02:00,00d01:05:00,00d00:44:00,00d00:25:00,00d00:19:00,00d00:34:00,00d00:34:00
8573213,00d00:55:00,00d01:03:00,00d00:40:00,00d00:18:00,00d00:10:00,00d00:33:00,00d00:33:00
8573214,00d00:54:00,00d01:04:00,00d00:46:00,00d00:17:00,00d00:09:00,00d00:35:00,00d00:36:00
8573223,00d01:09:00,00d00:59:00,00d00:43:00,00d00:40:00,00d00:33:00,00d00:54:00,00d00:51:00
8573232,00d01:09:00,00d01:09:00,00d00:46:00,00d00:29:00,00d00:24:00,00d00:41:00,00d00:41:00
8573244,00d00:51:00,00d01:04:00,00d00:40:00,00d00:15:00,00d00:14:00,00d00:34:00,00d00:33:00
8573257,00d01:06:00,00d01:06:00,00d00:51:00,00d00:30:00,00d00:25:00,00d00:44:00,00d00:48:00
8573311,00d01:09:00,00d01:06:00,00d00:15:00,00d00:42:00,00d00:38:00,00d00:49:00,00d00:51:00
8573507,00d00:32:00,00d01:07:00,00d00:51:00,00d00:43:00,00d00:39:00,00d00:48:00,00d00:52:00
8573602,00d01:02:00,00d00:27:00,00d00:44:00,00d01:08:00,00d00:52:00,00d01:04:00,00d01:04:00
